,x,y,rate,kmeans,labels
C4H9CHO-->CO+RN13O2+HO2,-22.95063018798828,-68.1298599243164,(J(15)),2,1
RN34OOH-->RN33AO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
HOCH2CO3H-->HCHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
CARB6-->CO+CH3CO3+HO2,-25.288782119750977,-75.06913757324219,(J(34)),2,1
RU12NO3-->CARB6+HOCH2CHO+NO2+HO2,-24.47490692138672,-72.64563751220703,(J(56)*10),2,1
CARB27-->2RN14O2,-26.055667877197266,-77.3402099609375,(J(35)),2,1
RN26OOH-->RN25O2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
NRN12OOH-->2CH3CHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
C2H5OOH-->CH3CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
HPUCARB12-->HUCARB9+CO+2OH,-25.603832244873047,-76.00923919677734,(J(20)*0.5),2,1
CARB24-->RN11O2+RN14O2,-26.055667877197266,-77.3402099609375,(J(35)),2,1
RA16NO3-->UDCARB11+CARB3+NO2+HO2,-21.194408416748047,-62.920650482177734,(J(54)),2,1
CARB35-->RN19O2+RN17O2,-21.834381103515625,-64.8177719116211,(J(22)),2,1
NRI15OOH-->CH3COCH3+CH3CHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
IC3H7OOH-->CH3COCH3+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RU11OOH-->HCHO+CH3CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RU12OOH-->CARB6+HOCH2CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
DHCARB9-->CO+CARB7+2HO2,-23.898744583129883,-70.93801879882812,(J(17)),2,1
NRN6OOH-->2HCHO+NO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RI12OOH-->CH3COCH3+HCHO+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
DIEK-->C2H5O2+C2H5CHO,-21.834381103515625,-64.8177719116211,(J(22)),2,1
CYHEXONE-->C3H6+C2H4+CO,-21.3308162689209,-63.32383728027344,(J(22)*0.5),2,1
