,x,y,group
TOL1O,-6.10365,-38.94243,58
C926O2,-0.633567,-0.7012666,21
C3DIOLO2,-0.78229284,-4.920533,49
C89PAN,-0.74134815,-0.26038262,15
NOPINAO2,-0.80932134,-5.496631,-1
NOPINBO2,-0.7898993000000001,-5.466926,-1
NT123L1O,-2.4491467,-16.055967000000003,-1
NPBNZ1O,-4.964965,-32.09892,-1
C622CHO,-0.6498202,-3.5830406999999997,44
NOETOL1O,-4.962224,-32.066959999999995,-1
NPXYOL1O,-3.3940867999999993,-22.174463,-1
HO2C54O2,-1.5168734,0.2546097,33
NT124L1O,-2.5849156000000004,-16.96669,-1
NMXYOL1O,-2.8278406000000005,-18.619709,-1
C4PAN5,-0.730155,-0.24865322,15
NIPBNZ1O,-4.908143,-31.702365999999998,-1
NEBNZ1O,-4.915781,-31.903879999999997,-1
NPETOL1O,-2.8031855,-18.422089,-1
NMETOL1O,-2.7181761000000004,-17.754465,-1
OXY1OHNO2,-0.5809982,-3.6742985,44
MMALNAPAN,-0.6210934,-0.29979602,-1
C820O2,-0.83504033,-5.3811264,-1
C5MEJPAN,-0.6254761,-0.3523455,-1
MTBEAO2,-1.3968163,0.23277557,31
C5M2OHOPAN,-0.6129941999999999,-0.35985795,-1
HM2C43O2,-1.4762295,0.24246217,32
C10PAN2,-0.56615454,-0.41879308,-1
CHOC2H4OOH,-6.257612,-39.526154,58
NCATECHOL,-0.6977230999999999,-4.4124823,47
MNCATECH,-0.69260716,-4.41001,47
IPNCATECH,-0.69925606,-4.415627,47
PNCATECH,-0.6992268,-4.414181,47
PTNCATECH,-0.7050481,-4.4225373,47
T124NCATEC,-0.697013,-4.3675246,47
MXNCATECH,-0.69651145,-4.4197087,47
T123NCATEC,-0.6975365,-4.373587000000001,47
OXNCATECH,-0.70043105,-4.4142275,47
ENCATECH,-0.6976165,-4.4232244000000005,47
PXNCATECH,-0.7003393,-4.427762,47
MTNCATECH,-0.69826144,-4.427154499999999,47
C4PAN4,-0.8034015,-0.105447635,20
C928PAN,-0.868384,0.0032033991999999996,-1
OTNCATECH,-0.7004246000000001,-4.423217,47
CHOC2PAN,-0.5717065,-0.43506125,14
C87PAN,-0.53335696,-0.44689652,-1
C817PAN,-0.48274129999999993,-0.48672150000000003,-1
C928O2,-1.8124151999999998,0.3708117,-1
C512PAN,-0.8337056999999999,-0.046051987,-1
HCC7CO,-23.445768,4.7406239999999995,57
CO234C6,-0.8608343,-0.19058515,-1
PROL2FORM,-1.0880626,0.1523672,-1
C718PAN,-0.5215332,-0.44123584,-1
IPROACETO,-7.467691,1.5348647,-1
HO12CO3C4,-0.77223814,-0.2796887,-1
NOXYOL1O2,-1.1144526000000001,-7.552296000000001,54
C128O2,-5.0441422,-33.263892999999996,-1
NPXYOL1O2,-1.0916344999999998,-7.3260565,54
NT124L1O2,-1.0746325,-7.2456317,54
NT123L1O2,-1.0658454,-7.203324,54
NEBNZ1O2,-1.110309,-7.444064,54
C118O2,-4.936917299999999,-32.78755,-1
NMETOL1O2,-1.0773208,-7.262949000000001,54
ACCOMEPAN,-0.79434925,-0.10041848,20
NPBNZ1O2,-1.1166935,-7.471068400000001,54
CO2N3CHO,-0.8228367,-0.34183165,-1
NIPBNZ1O2,-1.1073916000000001,-7.4475436,54
NPHEN1O2,-1.1199158,-7.5189686,54
NPETOL1O2,-1.0748487,-7.2681830000000005,54
ETHFORMO2,-2.4034197,0.46038494,39
NOETOL1O2,-1.1237056,-7.479936599999999,54
NMXYOL1O2,-1.0099119,-7.1793785,54
C5CO3OH,-0.8045819000000001,-0.15919876,-1
O,-0.6385191,-0.33975083,-1
PHPTN,-0.83550406,-0.03668901,-1
C6EO2OHPAN,-0.8319907,-0.066078335,20
C7MOHCOPAN,-0.60628605,-0.3844204,-1
C98O2,-0.75825363,-5.3800483,-1
C734O2,-0.92419523,-6.426716000000001,52
C7CO2OHPAN,-0.6236925,-0.33389184,2
C131PAN,-0.50437254,-0.46541026,-1
C825O2,-0.9262284,-6.5202007,-1
CH3COCO3H,-0.707498,-0.29592296,-1
MXY1OHNO2,-0.54534835,-3.7782620000000002,44
TM124OHNO2,-0.5701121,-3.5634384,44
C7OHCO2PAN,-0.5915919,-0.38953683,8
PXY1OHNO2,-0.5756119000000001,-3.5700010000000004,44
OET1OHNO2,-0.58109105,-3.5658220000000003,44
C6CO2OHPAN,-0.59715354,-0.38092527,8
OXYLPAN,-0.53878856,-0.42171782,-1
OXY1O,-5.9798403,-38.00182,58
EBNZOHNO2,-0.57548225,-3.5601667999999997,44
C5CO2OHPAN,-0.58640176,-0.39217865,8
IPRFORMO,-1.7934053,0.38208467,-1
PBNZOHNO2,-0.5718776,-3.5494120000000002,44
TM123OHNO2,-0.57003087,-3.5395727,44
CO2OH3MPAN,-0.8227167999999999,-0.06596784,20
PET1OHNO2,-0.5696336,-3.5485651,44
IPBNZOHNO2,-0.57757735,-3.5402767999999996,44
C1011PAN,-0.6140831,-0.21181941,-1
C32OH13CO,-0.690718,-0.39673406,-1
MET1OHNO2,-0.5806408000000001,-3.5478885,44
GLYOOA,-0.6980491,-0.39772179999999996,-1
TMBPAN,-0.548198,-0.41200328,-1
CCL3PAN,-0.7288091,-0.12714142,22
C923PAN,-0.5296270000000001,-0.43510553,-1
OXYL1OOH,-0.92575806,-6.319207700000001,-1
C722O2,-2.1011462000000005,0.45050144,-1
C5124COPAN,-0.5199819999999999,-0.43462044,-1
C141PAN,-0.6196763000000001,-0.35551977,-1
C7PAN3,-0.663269,-0.30806172,-1
PROL11MO2,-0.70143604,-0.22062063,-1
NC6PAN1,-0.6242833999999999,-0.33399709999999994,2
HM22CHO,-0.7933738,-0.1730461,-1
C6H5CH2O2,-0.5669113,-0.59324,19
C5PAN15,-0.7821724,-0.13748579,-1
NC4OHCPAN,-0.64816475,-0.32657072,-1
CO2N3PAN,-0.6181095,-0.32895392,2
C6CO134PAN,-0.65141976,-0.30133304,-1
C6DCRBBOH,-0.6688453000000001,-0.3629986,4
C88O2,-0.79881215,-5.2611074,-1
IPROPOLPAN,-0.6966608,-0.26952368,-1
CO3H4PAN,-0.6056291,-0.39967784,9
C6PAN21,-0.64579034,-0.32477897,-1
CHOBR,-0.6007626,-3.6365585,44
PEBO2,-1.6586033,0.30216090000000007,-1
C6MOHCOPAN,-0.5881481,-0.39648014,8
C4MOHOPAN,-0.5931266,-0.3834157,8
C1011O2,-0.8488085999999999,0.048786475999999995,-1
HCOCO3H,-0.6426879,-0.373172,-1
C5O45OHPAN,-0.58982295,-0.38590625,8
MALDIAL,-0.6048521,-0.54639184,-1
C4PAN3,-0.7805494000000001,-0.10920423,20
C7MJPPAN,-0.5904020000000001,-0.40084705,8
C626O2,-0.66849834,-4.143161,-1
C511PAN,-0.5360996,-0.4158273,-1
C31PAN,-0.66722345,-0.31116998,-1
C312COPAN,-0.6222053000000001,-0.34559456,-1
CO235C6CO3,-0.7370435000000001,-0.26535985,15
HO2C43CO3,-1.0139666999999999,0.026924068,-1
C618O2,-0.58954674,-0.6096651999999999,19
MALDIALPAN,-0.64371085,-0.32417035,-1
C116PAN,-0.46648023,-0.44451877,-1
