C5PAN14,O=N(=O)OOC(=O)C(C)C(C)O
M3PEBO2,CCC(C)C(C)O[O]
M3PEBO,CCC(C)C(C)[O]
M3PEBNO3,CCC(C)C(C)ON(=O)=O
H2MC5O2,[O]OCCC(C)C(C)O
H2MC5OOH,OOCCC(C)C(C)O
H2MC5O,[O]CCC(C)C(C)O
H2MC5NO3,O=N(=O)OCCC(C)C(C)O
M2BK,CCC(C)C(=O)C
CO2M3C5OH,CC(CCO)C(=O)C
M3PEBOOH,CCC(C)C(C)OO
M3PEBOH,CCC(C)C(C)O
HO14M3C5,OCCC(C)C(C)O
M2BKAO2,[O]OC(C)C(C)C(=O)C
M2BKBO2,CCC(C)(O[O])C(=O)C
M2BKAO,CC([O])C(C)C(=O)C
M2BKANO3,O=N(=O)OC(C)C(C)C(=O)C
CO24M3C5,CC(=O)C(C)C(=O)C
C69O2,[O]OCC(=O)C(C)C(C)O
C69O,[O]CC(=O)C(C)C(C)O
M2BKBO,CCC(C)([O])C(=O)C
CO2M3C4CHO,O=CCC(C)C(=O)C
C610O2,OCC(O[O])C(C)C(=O)C
C610O,OCC([O])C(C)C(=O)C
C610NO3,OCC(ON(=O)=O)C(C)C(=O)C
M2BKAOH,CC(O)C(C)C(=O)C
M2BKAOOH,OOC(C)C(C)C(=O)C
C69OOH,OOCC(=O)C(C)C(C)O
C69OH,OCC(=O)C(C)C(C)O
H2M3CO4CHO,CC(C(C)O)C(=O)C=O
M2BKBOOH,CCC(C)(OO)C(=O)C
M2BKBOH,CCC(C)(O)C(=O)C
C610OOH,OCC(OO)C(C)C(=O)C
C610OH,OCC(O)C(C)C(=O)C
CO24M3C5OH,CC(C(=O)CO)C(=O)C
CO24M3CHO,O=CC(=O)C(C)C(=O)C
CO2M3C4CO3,CC(CC(=O)O[O])C(=O)C
C51CO3H,CC(CC(=O)OO)C(=O)C
C51CO2H,OC(=O)CC(C)C(=O)C
C6PAN12,O=N(=O)OOC(=O)CC(C)C(=O)C
C611O2,[O]OC(C)(C(=O)C)C(=O)C
C611O,CC(=O)C(C)([O])C(=O)C
C611OOH,OOC(C)(C(=O)C)C(=O)C
C611OH,CC(=O)C(C)(O)C(=O)C
M3PECO2,CCC(C)(CC)O[O]
M3PECO,CCC(C)([O])CC
M3PECNO3,CCC(C)(CC)ON(=O)=O
M3PECOOH,CCC(C)(CC)OO
M3PECOH,CCC(C)(O)CC
M22C4,CCC(C)(C)C
M22C4O2,[O]OCCC(C)(C)C
M22C4O,[O]CCC(C)(C)C
M22C4NO3,O=N(=O)OCCC(C)(C)C
M22C4OOH,OOCCC(C)(C)C
M22C4OH,OCCC(C)(C)C
M22C3CHO,O=CCC(C)(C)C
HM33C4O2,OCCC(C)(C)CO[O]
HM33C4O,OCCC(C)(C)C[O]
HM33C4OOH,OCCC(C)(C)COO
HM33C4OH,OCCC(C)(C)CO
HM33C4NO3,OCCC(C)(C)CON(=O)=O
M22C3CO3,[O]OC(=O)CC(C)(C)C
M22C3CO3H,OOC(=O)CC(C)(C)C
C6PAN17,O=N(=O)OOC(=O)CC(C)(C)C
HM22C3CO3,[O]OC(=O)CC(C)(C)CO
HM22C3CHO,O=CCC(C)(C)CO
HM22C3CO3H,OOC(=O)CC(C)(C)CO
HM22C3CO2H,OCC(C)(C)CC(=O)O
C6PAN14,OCC(C)(C)CC(=O)OON(=O)=O
HM22C3O2,[O]OCC(C)(C)CO
HM22C3O,OCC(C)(C)C[O]
HM22C3NO3,OCC(C)(C)CON(=O)=O
HM22C3OOH,OOCC(C)(C)CO
HM22C3OH,OCC(C)(C)CO
HM22CHO,OCC(C)(C)C=O
HM22CO3,[O]OC(=O)C(C)(C)CO
HM22CO3H,OOC(=O)C(C)(C)CO
HM22CO2H,OCC(C)(C)C(=O)O
C5PAN15,OCC(C)(C)C(=O)OON(=O)=O
M33C4O2,[O]OCC(C)(C)CC
M33C4O,CCC(C)(C)C[O]
M33C4NO3,CCC(C)(C)CON(=O)=O
M33C4OOH,OOCC(C)(C)CC
M33C4OH,CCC(C)(C)CO
M33C3CHO,CCC(C)(C)C=O
HM22C4O2,[O]OCCC(C)(C)CO
HM22C4O,[O]CCC(C)(C)CO
HM22C4OOH,OOCCC(C)(C)CO
HM33C3CHO,OCCC(C)(C)C=O
HM22C4NO3,OCC(C)(C)CCON(=O)=O
M33C3CO3,[O]OC(=O)C(C)(C)CC
M33C3CO3H,OOC(=O)C(C)(C)CC
M33C3CO2H,CCC(C)(C)C(=O)O
C6PAN15,CCC(C)(C)C(=O)OON(=O)=O
HM33C3CO3,OCCC(C)(C)C(=O)O[O]
HM33C3CO3H,OCCC(C)(C)C(=O)OO
HM33C3CO2H,OCCC(C)(C)C(=O)O
C6PAN13,OCCC(C)(C)C(=O)OON(=O)=O
HM33C3O2,OCCC(C)(C)O[O]
HM33C3O,OCCC(C)(C)[O]
HM33C3NO3,OCCC(C)(C)ON(=O)=O
HM33C3OOH,OCCC(C)(C)OO
M22C43O2,[O]OC(C)C(C)(C)C
M22C43O,CC([O])C(C)(C)C
M22C43NO3,O=N(=O)OC(C)C(C)(C)C
M22C43OOH,OOC(C)C(C)(C)C
M22C43OH,CC(O)C(C)(C)C
MTBK,CC(=O)C(C)(C)C
MTBKO2,[O]OCC(C)(C)C(=O)C
MTBKO,[O]CC(C)(C)C(=O)C
MTBKNO3,O=N(=O)OCC(C)(C)C(=O)C
CO2M33CHO,O=CC(C)(C)C(=O)C
C612O2,[O]OCC(=O)C(C)(C)CO
C612O,[O]CC(=O)C(C)(C)CO
C612OOH,OOCC(=O)C(C)(C)CO
C612OH,OCC(=O)C(C)(C)CO
HM22COCHO,O=CC(=O)C(C)(C)CO
CO2M33CO3,[O]OC(=O)C(C)(C)C(=O)C
CO2M33CO3H,OOC(=O)C(C)(C)C(=O)C
CO2M33CO2H,CC(=O)C(C)(C)C(=O)O
C6PAN16,O=N(=O)OOC(=O)C(C)(C)C(=O)C
M23C4,CC(C)C(C)C
M23C4O2,[O]OCC(C)C(C)C
M23C4O,[O]CC(C)C(C)C
M23C4NO3,O=N(=O)OCC(C)C(C)C
M23C4OOH,OOCC(C)C(C)C
M23C4OH,OCC(C)C(C)C
M2C43CHO,O=CC(C)C(C)C
HM23C4O2,[O]OCC(C)C(C)CO
HM23C4O,OCC(C)C(C)C[O]
HM23C4NO3,OCC(C)C(C)CON(=O)=O
HM23C4OOH,OOCC(C)C(C)CO
HM23C4OH,OCC(C)C(C)CO
HM2C43CHO,OCC(C)C(C)C=O
M2C43CO3,[O]OC(=O)C(C)C(C)C
M2C43CO3H,OOC(=O)C(C)C(C)C
M2C43CO2H,CC(C(C)C)C(=O)O
C6PAN18,O=N(=O)OOC(=O)C(C)C(C)C
HM2C43CO3,OCC(C)C(C)C(=O)O[O]
