name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydroperoxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,Aromatic rings,Carbons,HydroCarbon,Atoms,nogroups
C716OOH,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,7,0,12,0
HMVKBO,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,7,0
C83COOHOOH,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,8,0,14,0
CH3NO3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5,0
EPXMC4DIAL,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,8,0
MTBEBOH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,7,0
HMVKANO3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,10,0
CO2OH3MPAN,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,13,0
NC4IPDCO2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,13,0
HOACETETO2,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,4,0,9,0
C151OH,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,15,0,20,0
C151O2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,15,0,21,0
ISOPCO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,8,0
NC4OHCO3,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,5,0,13,0
C629OOH,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6,0,11,0
BPINBO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,13,0
MIBKCOOHO2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,6,0,11,0
H2M2C4CO2H,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,9,0
C134O,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,13,0,19,0
C817CO3,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,9,0,14,0
MTBEBO2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,8,0
C917O,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,9,0,12,0
ACPRONEOH,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,9,0
DMC,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0
C920CO3H,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,10,0,15,0
LIMCOH,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,12,0
IPRBQONE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,11,0
MO2EOLB2OH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,6,0
C7M3CO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,11,0
DMM,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,5,0
DMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
C6PAN20,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,13,0
C71O2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,7,0,11,0
PXYFUOOH,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,5,0,10,0
C735OOA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,11,0
MO2EOLBO,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0
C735OOH,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,0,12,0
ACPRONEO2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,5,0,10,0
CATEC1O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,8,0
LIMCO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,0,13,0
C8M2CO6OH,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,0,12,0
TM123BO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,10,0
PETCATECH,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,0,11,0
CO25C6CO2H,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,11,0
NDNT124LO,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,9,0,23,0
PETLMUCO2H,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,13,0
C88PAN,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,17,0
BIACETO,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,7,0
ACEC2CHO,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,5,0,8,0
C822PAN,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,0,16,0
C89NO3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,13,0
C720OH,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,9,0
C121OOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0,15,0
BCALBOOH,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,15,0,19,0
C5MDICARB,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,8,0
C720O2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,10,0
MCATECHOL,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,9,0
C1011CO3H,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,11,0,15,0
C617PAN,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,0,15,0
PENT1ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0
PGAOOB,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,6,0
LIMALACO,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,13,0
C8M2CO6O2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,9,0,13,0
MOCOCH2OOH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,7,0
HO1C5OOH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,8,0
NC623O,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,6,0,13,0
LIMBOOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,13,0
CH3SCH2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
CHOC4CO3H,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,10,0
C733OOH,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,7,0,12,0
C78O2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,7,0,11,0
C815CO2OOH,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,12,0
MC3CODBCO3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,9,0
MC3CODBCO2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,8,0
H2M3C4O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,7,0
C42O,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,4,0,11,0
C918CO3H,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,10,0,14,0
DM23BU2ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
ETBEANO3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,11,0
HO2C6OOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,9,0
C78OH,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,10,0
NOPINCO,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,11,0
DNPHEN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,13,0
TM135BPNO3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,16,0
