,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1,ev  1
CO235C7,0.3258393747598229,0.5186661615372605,0.0004141794775351973,0.0015639662183296842,0.018459695045498284,0.0002448713065244599,1.493487920428274e-08,0.00041657428867708545,0.0015600624024961,0.013254334641735805,0.0002148250724036452,4.2060002886441607e-08
OXNCATECH,0.4594853685890437,0.6372534388105369,0.0001396075915038422,0.0009383797309978105,0.016014313833110538,0.00010707002771293331,3.6410554388606573e-09,0.000130390130738714,0.0009360374414976599,0.01212605956872026,0.0001065360966498585,6.58927556857568e-08
OXY1OHNO2,0.5608522044963721,0.6118811692465587,0.00023656295363606194,0.0006255864873318737,0.01366741308172482,0.00015864763704082714,3.005771291381387e-07,0.00022227179029539058,0.0006240249609984399,0.010797077703734781,0.00015785650152597865,6.074126905574072e-07
OXYL,0.6901094612253428,0.6902151500237049,4.803284947672407e-05,0.0012511729746637473,0.0358877061645166,0.0,1.556869310349693e-13,4.756229778152268e-05,0.0012480499219968799,0.02930648396734958,0.0,5.042471901228519e-14
DNPXYOL,0.5112621489019818,0.5631046726484655,0.00018673899575643508,0.0009383797309978105,0.01662365930473314,0.0002443819553923167,1.0185834211282731e-07,0.00017733188835651116,0.0009360374414976599,0.012731724792137095,0.00024316328458381782,7.944903775174766e-08
OXYLOL,0.3724720332391396,0.5765710880752822,5.7954650007166684e-05,0.0015639662183296842,0.023762012847976542,6.753045623576233e-06,2.1031534939860896e-12,5.76459150979964e-05,0.0015600624024961,0.0168041807657103,6.3298412086296186e-06,8.64751040468796e-13
OXYMUCCO,0.4717144591036708,0.5029091931043014,0.00020473446453911294,0.001876759461995621,0.02708842784278438,0.00013584387428295378,4.1079320461780186e-10,0.00020431563492171595,0.0018720748829953197,0.021668151552327833,0.00013516645534735247,3.5183460533229717e-10
OXYMUCNO3,0.5029223075194997,0.5193591028844162,5.9417531807807214e-05,0.0006255864873318737,0.02386489356799361,0.0,6.349427111858303e-11,5.835426246465363e-05,0.0006240249609984399,0.018651706695599693,0.0,3.4929754645877017e-11
DNT123BOL,0.4230456871637382,0.4742880945474586,0.00018777704495790833,0.0009383797309978105,0.0215993717182596,0.00024027140588231378,3.578228557619857e-08,0.00017747151501974317,0.0009360374414976599,0.01594416494790774,0.00023907323334131867,4.212703051724643e-08
PBENZ,0.6376731579157199,0.6378070536511625,4.803284947672407e-05,0.0012511729746637473,0.037968880913093916,0.0,1.556869310349693e-13,4.756229778152268e-05,0.0012480499219968799,0.029697432336737863,0.0,5.042471901228519e-14
PBENZOL,0.3347846495269311,0.517742581974976,5.805279175771972e-05,0.0015639662183296842,0.02798095700906623,5.480732680003899e-06,1.9176737158743787e-12,5.768235679668199e-05,0.0015600624024961,0.01898841148792251,5.453401656665517e-06,8.255972067770282e-13
DNT124BOL,0.45699544574341977,0.5084746204050964,0.00018737268470275792,0.0009383797309978105,0.021232870206944053,0.00024027140588231378,5.413873275756641e-08,0.00017739986225387864,0.0009360374414976599,0.015806309313150402,0.00023907323334131867,5.3849043852059226e-08
